,Equipe,Link,Pos,Pts,TamanhoElenco,IdadeElenco,JogadoresEstrangeiros,SetorGol,SetorDef,SetorMeio,SetorAtq,SimilaridadeSetores,MelhorGol,MelhorDef,MelhorMeio,MelhorAtq,Sucesso
0,Náutico - 2008,https://www.transfermarkt.com/clube-nautico-capibaribe/startseite/verein/2646/saison_id/2007,16,44,29,24.3,0,0.0,0.168,0.328,0.504,0.443,0.0,0.134,0.134,0.504,1
1,Sport Recife - 2008,https://www.transfermarkt.com/sport-club-do-recife/startseite/verein/8718/saison_id/2007,11,52,33,25.3,0,0.0,0.938,0.031,0.031,0.062,0.0,0.938,0.031,0.031,1
2,EC Vitória - 2008,https://www.transfermarkt.com/esporte-clube-vitoria/startseite/verein/2125/saison_id/2007,10,52,33,24.2,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1
3,Sport Recife - 2009,https://www.transfermarkt.com/sport-club-do-recife/startseite/verein/8718/saison_id/2008,20,31,30,25.0,1,0.05,0.405,0.396,0.149,0.563,0.038,0.115,0.048,0.072,0
4,Náutico - 2009,https://www.transfermarkt.com/clube-nautico-capibaribe/startseite/verein/2646/saison_id/2008,19,38,33,24.1,2,0.052,0.466,0.168,0.314,0.537,0.05,0.165,0.083,0.138,0
5,EC Vitória - 2009,https://www.transfermarkt.com/esporte-clube-vitoria/startseite/verein/2125/saison_id/2008,13,48,38,24.1,2,0.039,0.397,0.206,0.358,0.591,0.039,0.172,0.039,0.172,1
6,EC Vitória - 2010,https://www.transfermarkt.com/esporte-clube-vitoria/startseite/verein/2125/saison_id/2009,17,42,57,23.5,1,0.067,0.327,0.368,0.239,0.67,0.039,0.07,0.067,0.078,0
7,Ceará SC - 2010,https://www.transfermarkt.com/ceara-sporting-club-ce-/startseite/verein/2029/saison_id/2009,12,47,43,25.8,0,0.051,0.271,0.408,0.271,0.643,0.031,0.063,0.118,0.071,1
8,Ceará SC - 2011,https://www.transfermarkt.com/ceara-sporting-club-ce-/startseite/verein/2029/saison_id/2010,18,39,50,25.7,0,0.052,0.422,0.374,0.152,0.556,0.032,0.18,0.12,0.04,0
9,EC Bahia - 2011,https://www.transfermarkt.com/ec-bahia/startseite/verein/10010/saison_id/2010,14,46,43,23.4,1,0.034,0.236,0.469,0.261,0.557,0.019,0.048,0.145,0.097,1
10,EC Bahia - 2012,https://www.transfermarkt.com/ec-bahia/startseite/verein/10010/saison_id/2011,15,47,44,23.5,0,0.046,0.205,0.388,0.361,0.606,0.027,0.137,0.096,0.109,1
11,Sport Recife - 2012,https://www.transfermarkt.com/sport-club-do-recife/startseite/verein/8718/saison_id/2011,17,41,45,24.1,1,0.0,0.241,0.427,0.332,0.543,0.0,0.095,0.101,0.076,0
12,Náutico - 2012,https://www.transfermarkt.com/clube-nautico-capibaribe/startseite/verein/2646/saison_id/2011,12,49,45,24.0,2,0.062,0.355,0.417,0.166,0.582,0.038,0.114,0.095,0.071,1
13,EC Bahia - 2013,https://www.transfermarkt.com/ec-bahia/startseite/verein/10010/saison_id/2012,12,48,56,24.0,4,0.058,0.266,0.291,0.385,0.665,0.042,0.083,0.054,0.062,1
14,EC Vitória - 2013,https://www.transfermarkt.com/esporte-clube-vitoria/startseite/verein/2125/saison_id/2012,5,59,52,23.4,4,0.09,0.29,0.367,0.253,0.711,0.049,0.055,0.096,0.082,1
15,Náutico - 2013,https://www.transfermarkt.com/clube-nautico-capibaribe/startseite/verein/2646/saison_id/2012,20,20,42,24.2,3,0.078,0.274,0.391,0.256,0.681,0.028,0.071,0.128,0.071,0
16,EC Bahia - 2014,https://www.transfermarkt.com/ec-bahia/startseite/verein/10010/saison_id/2013,18,37,44,24.4,6,0.053,0.285,0.399,0.262,0.646,0.051,0.061,0.127,0.046,0
17,EC Vitória - 2014,https://www.transfermarkt.com/esporte-clube-vitoria/startseite/verein/2125/saison_id/2013,17,38,40,24.6,2,0.059,0.222,0.4,0.319,0.627,0.034,0.038,0.063,0.063,0
18,Sport Recife - 2014,https://www.transfermarkt.com/sport-club-do-recife/startseite/verein/8718/saison_id/2013,11,52,45,25.8,1,0.0,0.128,0.617,0.255,0.341,0.0,0.033,0.229,0.092,1
19,Sport Recife - 2015,https://www.transfermarkt.com/sport-club-do-recife/startseite/verein/8718/saison_id/2014,6,59,46,23.6,0,0.038,0.114,0.483,0.365,0.471,0.024,0.024,0.284,0.142,1
20,Sport Recife - 2016,https://www.transfermarkt.com/sport-club-do-recife/startseite/verein/8718/saison_id/2015,14,47,40,25.6,4,0.034,0.218,0.488,0.26,0.532,0.014,0.048,0.097,0.039,1
21,EC Vitória - 2016,https://www.transfermarkt.com/esporte-clube-vitoria/startseite/verein/2125/saison_id/2015,16,45,30,23.2,0,0.011,0.299,0.265,0.425,0.575,0.011,0.075,0.075,0.188,1
22,Santa Cruz - 2016,https://www.transfermarkt.com/santa-cruz-futebol-clube-pe-/startseite/verein/1785/saison_id/2015,19,31,29,26.2,1,0.028,0.282,0.41,0.281,0.618,0.025,0.077,0.061,0.061,0
23,Sport Recife - 2017,https://www.transfermarkt.com/sport-club-do-recife/startseite/verein/8718/saison_id/2016,15,45,41,24.0,3,0.055,0.212,0.381,0.352,0.627,0.037,0.07,0.117,0.093,1
24,EC Vitória - 2017,https://www.transfermarkt.com/esporte-clube-vitoria/startseite/verein/2125/saison_id/2016,16,43,44,24.6,4,0.04,0.396,0.354,0.21,0.596,0.026,0.065,0.09,0.052,1
25,EC Bahia - 2017,https://www.transfermarkt.com/ec-bahia/startseite/verein/10010/saison_id/2016,12,50,43,23.4,3,0.032,0.362,0.404,0.201,0.574,0.018,0.102,0.088,0.073,1
